encoded_feature,source_feature,mean_absolute_shap,mean_signed_shap
repayment_status__PAY_3_0,PAY_3,0.001988959665499071,0.000414611883303021
repayment_status__PAY_3_-2,PAY_3,0.001903907675251351,0.000431310004390517
repayment_status__PAY_4_-1,PAY_4,0.0018467806312234389,0.0003347619910132485
repayment_status__PAY_5_-1,PAY_5,0.0016497090248241322,0.000248599853152848
repayment_status__PAY_2_-2,PAY_2,0.00156486854210124,0.0005005128582391891
repayment_status__PAY_4_-2,PAY_4,0.0013313510048988204,0.000405098032802798
repayment_status__PAY_2_3,PAY_2,0.0010811937610020635,-0.000397337226758326
repayment_status__PAY_6_-1,PAY_6,0.0010464265706249033,-0.00010617713119156641
repayment_status__PAY_5_-2,PAY_5,0.0007830915569416437,0.0001386177631316328
repayment_status__PAY_6_-2,PAY_6,0.0005837096546157498,0.00010451857744713231
repayment_status__PAY_6_3,PAY_6,0.0003018611250742698,-4.4123736129873515e-06
repayment_status__PAY_3_3,PAY_3,0.0002743842297107523,-0.00019411793781303678
repayment_status__PAY_5_3,PAY_5,0.00018000956448123572,-8.602221631700817e-06
repayment_status__PAY_4_7,PAY_4,0.00015034988360401882,-5.8354212349620287e-05
repayment_status__PAY_5_7,PAY_5,0.0001177501645984069,-5.909245190553871e-05
repayment_status__PAY_4_3,PAY_4,0.00010242654706296605,-2.7892476642216134e-05
repayment_status__PAY_6_7,PAY_6,7.997700488779438e-05,-5.140652545892407e-05
repayment_status__PAY_0_4,PAY_0,5.015347697474494e-05,-3.986895344195835e-05
repayment_status__PAY_5_4,PAY_5,2.6866665580511356e-05,-1.1807465344982792e-05
repayment_status__PAY_4_4,PAY_4,2.2421777905447764e-05,-1.3652994391779868e-05
repayment_status__PAY_2_4,PAY_2,1.5127870864316752e-05,-9.915777592978259e-06
repayment_status__PAY_3_7,PAY_3,1.0508365276625535e-05,-6.178429656341386e-06
repayment_status__PAY_3_4,PAY_3,6.990209226561338e-06,-4.688711687756714e-06
repayment_status__PAY_4_5,PAY_4,6.663167865766718e-06,-3.6002880139350405e-07
repayment_status__PAY_6_4,PAY_6,3.853804161989136e-06,-2.3593789656813415e-06
repayment_status__PAY_3_6,PAY_3,1.9000689155402434e-06,-2.1910635939032333e-07
repayment_status__PAY_0_5,PAY_0,1.7843022036200146e-06,-1.7843022036200146e-06
repayment_status__PAY_3_5,PAY_3,9.960133515869704e-07,8.71218171547698e-07
repayment_status__PAY_0_8,PAY_0,9.671952593007326e-07,-4.2544073136536727e-07
repayment_status__PAY_0_6,PAY_0,0.0,0.0
repayment_status__PAY_3_8,PAY_3,0.0,0.0
repayment_status__PAY_0_7,PAY_0,0.0,0.0
repayment_status__PAY_5_6,PAY_5,0.0,0.0
repayment_status__PAY_2_7,PAY_2,0.0,0.0
repayment_status__PAY_4_6,PAY_4,0.0,0.0
repayment_status__PAY_4_1,PAY_4,0.0,0.0
repayment_status__PAY_4_8,PAY_4,0.0,0.0
repayment_status__PAY_5_5,PAY_5,0.0,0.0
repayment_status__PAY_3_1,PAY_3,0.0,0.0
repayment_status__PAY_5_8,PAY_5,0.0,0.0
repayment_status__PAY_6_5,PAY_6,0.0,0.0
repayment_status__PAY_2_1,PAY_2,0.0,0.0
repayment_status__PAY_2_5,PAY_2,0.0,0.0
repayment_status__PAY_2_6,PAY_2,0.0,0.0
repayment_status__PAY_6_6,PAY_6,0.0,0.0
repayment_status__PAY_6_8,PAY_6,0.0,0.0
